# AmberClassic 8e55e97ada48b96eefaec2e6a3fa849018aaeea5; bondtype -j part; atomtype -d bundled ATOMTYPE_GFF2.DEF -a 1
# name	smiles	elements	bonds (zero-based a,b,order)	expected types
furan	c1ccoc1	C,C,C,O,C,H,H,H,H	0,1,1;1,2,2;2,3,1;3,4,1;4,0,2;0,5,1;1,6,1;2,7,1;4,8,1	cc,cc,cd,os,cd,ha,ha,h4,h4
thiophene	c1ccsc1	C,C,C,S,C,H,H,H,H	0,1,1;1,2,2;2,3,1;3,4,1;4,0,2;0,5,1;1,6,1;2,7,1;4,8,1	cc,cc,cd,ss,cd,ha,ha,h4,h4
imidazole	c1ncc[nH]1	C,N,C,C,N,H,H,H,H	0,1,2;1,2,1;2,3,2;3,4,1;4,0,1;0,5,1;2,6,1;3,7,1;4,8,1	cc,nd,cd,cc,na,h5,h4,h4,hn
pyrazole	c1cn[nH]c1	C,C,N,N,C,H,H,H,H	0,1,1;1,2,2;2,3,1;3,4,1;4,0,2;0,5,1;1,6,1;3,7,1;4,8,1	cc,cc,nd,na,cd,ha,h4,hn,h4
pyrimidine	c1cncnc1	C,C,N,C,N,C,H,H,H,H	0,1,2;1,2,1;2,3,2;3,4,1;4,5,2;5,0,1;0,6,1;1,7,1;3,8,1;5,9,1	ca,ca,nb,ca,nb,ca,ha,h4,h5,h4
indole	c1ccc2[nH]ccc2c1	C,C,C,C,N,C,C,C,C,H,H,H,H,H,H,H	0,1,2;1,2,1;2,3,2;3,4,1;4,5,1;5,6,2;6,7,1;7,8,2;8,0,1;7,3,1;0,9,1;1,10,1;2,11,1;4,12,1;5,13,1;6,14,1;8,15,1	ca,ca,ca,ca,na,cc,cd,ca,ca,ha,ha,ha,hn,h4,ha,ha
naphthalene	c1ccc2ccccc2c1	C,C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H	0,1,2;1,2,1;2,3,2;3,4,1;4,5,2;5,6,1;6,7,2;7,8,1;8,9,2;9,0,1;8,3,1;0,10,1;1,11,1;2,12,1;4,13,1;5,14,1;6,15,1;7,16,1;9,17,1	ca,ca,ca,ca,ca,ca,ca,ca,ca,ca,ha,ha,ha,ha,ha,ha,ha,ha
biphenyl	c1ccccc1-c1ccccc1	C,C,C,C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H	0,1,1;1,2,2;2,3,1;3,4,2;4,5,1;5,6,1;6,7,2;7,8,1;8,9,2;9,10,1;10,11,2;5,0,2;11,6,1;0,12,1;1,13,1;2,14,1;3,15,1;4,16,1;7,17,1;8,18,1;9,19,1;10,20,1;11,21,1	ca,ca,ca,ca,ca,cp,cp,ca,ca,ca,ca,ca,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha
quinone	O=C1C=CC(=O)C=C1	O,C,C,C,C,O,C,C,H,H,H,H	0,1,2;1,2,1;2,3,2;3,4,1;4,5,2;4,6,1;6,7,2;7,1,1;2,8,1;3,9,1;6,10,1;7,11,1	o,c,cc,cd,c,o,cc,cd,ha,ha,ha,ha
cyclopropane	C1CC1	C,C,C,H,H,H,H,H,H	0,1,1;1,2,1;2,0,1;0,3,1;0,4,1;1,5,1;1,6,1;2,7,1;2,8,1	cx,cx,cx,hc,hc,hc,hc,hc,hc
cyclobutane	C1CCC1	C,C,C,C,H,H,H,H,H,H,H,H	0,1,1;1,2,1;2,3,1;3,0,1;0,4,1;0,5,1;1,6,1;1,7,1;2,8,1;2,9,1;3,10,1;3,11,1	cy,cy,cy,cy,hc,hc,hc,hc,hc,hc,hc,hc
cyclopentane	C1CCCC1	C,C,C,C,C,H,H,H,H,H,H,H,H,H,H	0,1,1;1,2,1;2,3,1;3,4,1;4,0,1;0,5,1;0,6,1;1,7,1;1,8,1;2,9,1;2,10,1;3,11,1;3,12,1;4,13,1;4,14,1	c5,c5,c5,c5,c5,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc
cyclohexane	C1CCCCC1	C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H	0,1,1;1,2,1;2,3,1;3,4,1;4,5,1;5,0,1;0,6,1;0,7,1;1,8,1;1,9,1;2,10,1;2,11,1;3,12,1;3,13,1;4,14,1;4,15,1;5,16,1;5,17,1	c6,c6,c6,c6,c6,c6,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc
cyclononane	C1CCCCCCCC1	C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H	0,1,1;1,2,1;2,3,1;3,4,1;4,5,1;5,6,1;6,7,1;7,8,1;8,0,1;0,9,1;0,10,1;1,11,1;1,12,1;2,13,1;2,14,1;3,15,1;3,16,1;4,17,1;4,18,1;5,19,1;5,20,1;6,21,1;6,22,1;7,23,1;7,24,1;8,25,1;8,26,1	c3,c3,c3,c3,c3,c3,c3,c3,c3,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc
cyclodecane	C1CCCCCCCCC1	C,C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H	0,1,1;1,2,1;2,3,1;3,4,1;4,5,1;5,6,1;6,7,1;7,8,1;8,9,1;9,0,1;0,10,1;0,11,1;1,12,1;1,13,1;2,14,1;2,15,1;3,16,1;3,17,1;4,18,1;4,19,1;5,20,1;5,21,1;6,22,1;6,23,1;7,24,1;7,25,1;8,26,1;8,27,1;9,28,1;9,29,1	c3,c3,c3,c3,c3,c3,c3,c3,c3,c3,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc
decalin	C1CCC2CCCCC2C1	C,C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H	0,1,1;1,2,1;2,3,1;3,4,1;4,5,1;5,6,1;6,7,1;7,8,1;8,9,1;9,0,1;8,3,1;0,10,1;0,11,1;1,12,1;1,13,1;2,14,1;2,15,1;3,16,1;4,17,1;4,18,1;5,19,1;5,20,1;6,21,1;6,22,1;7,23,1;7,24,1;8,25,1;9,26,1;9,27,1	c6,c6,c6,c6,c6,c6,c6,c6,c6,c6,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc
norbornane	C1CC2CCC1C2	C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H	0,1,1;1,2,1;2,3,1;3,4,1;4,5,1;5,6,1;5,0,1;6,2,1;0,7,1;0,8,1;1,9,1;1,10,1;2,11,1;3,12,1;3,13,1;4,14,1;4,15,1;5,16,1;6,17,1;6,18,1	c5,c5,c5,c5,c5,c5,c5,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc,hc
ammonia	N	N,H,H,H	0,1,1;0,2,1;0,3,1	n9,hn,hn,hn
methylamine	CN	C,N,H,H,H,H,H	0,1,1;0,2,1;0,3,1;0,4,1;1,5,1;1,6,1	c3,n8,h1,h1,h1,hn,hn
dimethylamine	CNC	C,N,C,H,H,H,H,H,H,H	0,1,1;1,2,1;0,3,1;0,4,1;0,5,1;1,6,1;2,7,1;2,8,1;2,9,1	c3,n7,c3,h1,h1,h1,hn,h1,h1,h1
trimethylamine	CN(C)C	C,N,C,C,H,H,H,H,H,H,H,H,H	0,1,1;1,2,1;1,3,1;0,4,1;0,5,1;0,6,1;2,7,1;2,8,1;2,9,1;3,10,1;3,11,1;3,12,1	c3,n3,c3,c3,h1,h1,h1,h1,h1,h1,h1,h1,h1
ammonium	[NH4+]	N,H,H,H,H	0,1,1;0,2,1;0,3,1;0,4,1	n+,hn,hn,hn,hn
methylammonium	C[NH3+]	C,N,H,H,H,H,H,H	0,1,1;0,2,1;0,3,1;0,4,1;1,5,1;1,6,1;1,7,1	c3,nz,hx,hx,hx,hn,hn,hn
aniline	Nc1ccccc1	N,C,C,C,C,C,C,H,H,H,H,H,H,H	0,1,1;1,2,2;2,3,1;3,4,2;4,5,1;5,6,2;6,1,1;0,7,1;0,8,1;2,9,1;3,10,1;4,11,1;5,12,1;6,13,1	nv,ca,ca,ca,ca,ca,ca,hn,hn,ha,ha,ha,ha,ha
enamine	NC=C	N,C,C,H,H,H,H,H	0,1,1;1,2,2;0,3,1;0,4,1;1,5,1;2,6,1;2,7,1	nv,c2,c2,hn,hn,h4,ha,ha
acetamide	CC(=O)N	C,C,O,N,H,H,H,H,H	0,1,1;1,2,2;1,3,1;0,4,1;0,5,1;0,6,1;3,7,1;3,8,1	c3,c,o,nt,hc,hc,hc,hn,hn
n_methylacetamide	CC(=O)NC	C,C,O,N,C,H,H,H,H,H,H,H	0,1,1;1,2,2;1,3,1;3,4,1;0,5,1;0,6,1;0,7,1;3,8,1;4,9,1;4,10,1;4,11,1	c3,c,o,ns,c3,hc,hc,hc,hn,h1,h1,h1
dimethylacetamide	CC(=O)N(C)C	C,C,O,N,C,C,H,H,H,H,H,H,H,H,H	0,1,1;1,2,2;1,3,1;3,4,1;3,5,1;0,6,1;0,7,1;0,8,1;4,9,1;4,10,1;4,11,1;5,12,1;5,13,1;5,14,1	c3,c,o,n,c3,c3,hc,hc,hc,h1,h1,h1,h1,h1,h1
thioamide	CC(=S)N	C,C,S,N,H,H,H,H,H	0,1,1;1,2,2;1,3,1;0,4,1;0,5,1;0,6,1;3,7,1;3,8,1	c3,cs,s,nt,hc,hc,hc,hn,hn
urea	NC(=O)N	N,C,O,N,H,H,H,H	0,1,1;1,2,2;1,3,1;0,4,1;0,5,1;3,6,1;3,7,1	nt,c,o,nt,hn,hn,hn,hn
guanidine	NC(=N)N	N,C,N,N,H,H,H,H,H	0,1,1;1,2,2;1,3,1;0,4,1;0,5,1;2,6,1;3,7,1;3,8,1	nv,c2,n2,nv,hn,hn,hn,hn,hn
guanidinium	NC(=[NH2+])N	N,C,N,N,H,H,H,H,H,H	0,1,1;1,2,2;1,3,1;0,4,1;0,5,1;2,6,1;2,7,1;3,8,1;3,9,1	nv,cz,nv,nv,hn,hn,hn,hn,hn,hn
aziridine	C1CN1	C,C,N,H,H,H,H,H	0,1,1;1,2,1;2,0,1;0,3,1;0,4,1;1,5,1;1,6,1;2,7,1	cx,cx,n5,h1,h1,h1,h1,hn
azetidine	C1CCN1	C,C,C,N,H,H,H,H,H,H,H	0,1,1;1,2,1;2,3,1;3,0,1;0,4,1;0,5,1;1,6,1;1,7,1;2,8,1;2,9,1;3,10,1	cy,cy,cy,n6,h1,h1,hc,hc,h1,h1,hn
n_methylaziridine	CN1CC1	C,N,C,C,H,H,H,H,H,H,H	0,1,1;1,2,1;2,3,1;3,1,1;0,4,1;0,5,1;0,6,1;2,7,1;2,8,1;3,9,1;3,10,1	c3,np,cx,cx,h1,h1,h1,h1,h1,h1,h1
piperidine	C1CCNCC1	C,C,C,N,C,C,H,H,H,H,H,H,H,H,H,H,H	0,1,1;1,2,1;2,3,1;3,4,1;4,5,1;5,0,1;0,6,1;0,7,1;1,8,1;1,9,1;2,10,1;2,11,1;3,12,1;4,13,1;4,14,1;5,15,1;5,16,1	c6,c6,c6,n7,c6,c6,hc,hc,hc,hc,h1,h1,hn,h1,h1,hc,hc
beta_lactam	O=C1CCN1	O,C,C,C,N,H,H,H,H,H	0,1,2;1,2,1;2,3,1;3,4,1;4,1,1;2,5,1;2,6,1;3,7,1;3,8,1;4,9,1	o,c,cy,cy,ns,hc,hc,h1,h1,hn
ethanol	CCO	C,C,O,H,H,H,H,H,H	0,1,1;1,2,1;0,3,1;0,4,1;0,5,1;1,6,1;1,7,1;2,8,1	c3,c3,oh,hc,hc,hc,h1,h1,ho
ether	COC	C,O,C,H,H,H,H,H,H	0,1,1;1,2,1;0,3,1;0,4,1;0,5,1;2,6,1;2,7,1;2,8,1	c3,os,c3,h1,h1,h1,h1,h1,h1
water	O	O,H,H	0,1,1;0,2,1	oh,ho,ho
epoxide	C1CO1	C,C,O,H,H,H,H	0,1,1;1,2,1;2,0,1;0,3,1;0,4,1;1,5,1;1,6,1	cx,cx,op,h1,h1,h1,h1
oxetane	C1COC1	C,C,O,C,H,H,H,H,H,H	0,1,1;1,2,1;2,3,1;3,0,1;0,4,1;0,5,1;1,6,1;1,7,1;3,8,1;3,9,1	cy,cy,oq,cy,hc,hc,h1,h1,h1,h1
acetone	CC(=O)C	C,C,O,C,H,H,H,H,H,H	0,1,1;1,2,2;1,3,1;0,4,1;0,5,1;0,6,1;3,7,1;3,8,1;3,9,1	c3,c,o,c3,hc,hc,hc,hc,hc,hc
acetate	CC(=O)[O-]	C,C,O,O,H,H,H	0,1,1;1,2,2;1,3,1;0,4,1;0,5,1;0,6,1	c3,c,o,o,hc,hc,hc
acetic_acid	CC(=O)O	C,C,O,O,H,H,H,H	0,1,1;1,2,2;1,3,1;0,4,1;0,5,1;0,6,1;3,7,1	c3,c,o,oh,hc,hc,hc,ho
methylacetate	CC(=O)OC	C,C,O,O,C,H,H,H,H,H,H	0,1,1;1,2,2;1,3,1;3,4,1;0,5,1;0,6,1;0,7,1;4,8,1;4,9,1;4,10,1	c3,c,o,os,c3,hc,hc,hc,h1,h1,h1
nitromethane	C[N+](=O)[O-]	C,N,O,O,H,H,H	0,1,1;1,2,2;1,3,1;0,4,1;0,5,1;0,6,1	c3,no,o,o,h1,h1,h1
nitrile	CC#N	C,C,N,H,H,H	0,1,1;1,2,3;0,3,1;0,4,1;0,5,1	c3,c1,n1,hc,hc,hc
imine	CC=N	C,C,N,H,H,H,H,H	0,1,1;1,2,2;0,3,1;0,4,1;0,5,1;1,6,1;2,7,1	c3,c2,n2,hc,hc,hc,h4,hn
methanethiol	CS	C,S,H,H,H,H	0,1,1;0,2,1;0,3,1;0,4,1;1,5,1	c3,sh,h1,h1,h1,hs
sulfide	CSC	C,S,C,H,H,H,H,H,H	0,1,1;1,2,1;0,3,1;0,4,1;0,5,1;2,6,1;2,7,1;2,8,1	c3,ss,c3,h1,h1,h1,h1,h1,h1
disulfide	CSSC	C,S,S,C,H,H,H,H,H,H	0,1,1;1,2,1;2,3,1;0,4,1;0,5,1;0,6,1;3,7,1;3,8,1;3,9,1	c3,ss,ss,c3,h1,h1,h1,h1,h1,h1
sulfoxide	CS(=O)C	C,S,O,C,H,H,H,H,H,H	0,1,1;1,2,2;1,3,1;0,4,1;0,5,1;0,6,1;3,7,1;3,8,1;3,9,1	c3,s4,o,c3,h1,h1,h1,h1,h1,h1
sulfone	CS(=O)(=O)C	C,S,O,O,C,H,H,H,H,H,H	0,1,1;1,2,2;1,3,2;1,4,1;0,5,1;0,6,1;0,7,1;4,8,1;4,9,1;4,10,1	c3,s6,o,o,c3,h1,h1,h1,h1,h1,h1
sulfonamide	CS(=O)(=O)N	C,S,O,O,N,H,H,H,H,H	0,1,1;1,2,2;1,3,2;1,4,1;0,5,1;0,6,1;0,7,1;4,8,1;4,9,1	c3,s6,o,o,n8,h1,h1,h1,hn,hn
aryl_sulfone	CS(=O)(=O)c1ccccc1	C,S,O,O,C,C,C,C,C,C,H,H,H,H,H,H,H,H	0,1,1;1,2,2;1,3,2;1,4,1;4,5,2;5,6,1;6,7,2;7,8,1;8,9,2;9,4,1;0,10,1;0,11,1;0,12,1;5,13,1;6,14,1;7,15,1;8,16,1;9,17,1	c3,sy,o,o,ca,ca,ca,ca,ca,ca,h1,h1,h1,ha,ha,ha,ha,ha
phosphate	OP(=O)(O)O	O,P,O,O,O,H,H,H	0,1,1;1,2,2;1,3,1;1,4,1;0,5,1;3,6,1;4,7,1	oh,p5,o,oh,oh,ho,ho,ho
phosphonate	CP(=O)(O)O	C,P,O,O,O,H,H,H,H,H	0,1,1;1,2,2;1,3,1;1,4,1;0,5,1;0,6,1;0,7,1;3,8,1;4,9,1	c3,p5,o,oh,oh,hc,hc,hc,ho,ho
phosphine	CP(C)C	C,P,C,C,H,H,H,H,H,H,H,H,H	0,1,1;1,2,1;1,3,1;0,4,1;0,5,1;0,6,1;2,7,1;2,8,1;2,9,1;3,10,1;3,11,1;3,12,1	c3,p3,c3,c3,hc,hc,hc,hc,hc,hc,hc,hc,hc
fluoromethane	CF	C,F,H,H,H	0,1,1;0,2,1;0,3,1;0,4,1	c3,f,h1,h1,h1
difluoromethane	FCF	F,C,F,H,H	0,1,1;1,2,1;1,3,1;1,4,1	f,c3,f,h2,h2
chloroform	ClC(Cl)Cl	Cl,C,Cl,Cl,H	0,1,1;1,2,1;1,3,1;1,4,1	cl,c3,cl,cl,h3
glycine_zwitterion	[NH3+]CC(=O)[O-]	N,C,C,O,O,H,H,H,H,H	0,1,1;1,2,1;2,3,2;2,4,1;0,5,1;0,6,1;0,7,1;1,8,1;1,9,1	nz,c3,c,o,o,hn,hn,hn,hx,hx
alanine_zwitterion	[NH3+]C(C)C(=O)[O-]	N,C,C,C,O,O,H,H,H,H,H,H,H	0,1,1;1,2,1;1,3,1;3,4,2;3,5,1;0,6,1;0,7,1;0,8,1;1,9,1;2,10,1;2,11,1;2,12,1	nz,c3,c3,c,o,o,hn,hn,hn,hx,hc,hc,hc
aspirin	CC(=O)Oc1ccccc1C(=O)O	C,C,O,O,C,C,C,C,C,C,C,O,O,H,H,H,H,H,H,H,H	0,1,1;1,2,2;1,3,1;3,4,1;4,5,2;5,6,1;6,7,2;7,8,1;8,9,2;9,10,1;10,11,2;10,12,1;9,4,1;0,13,1;0,14,1;0,15,1;5,16,1;6,17,1;7,18,1;8,19,1;12,20,1	c3,c,o,os,ca,ca,ca,ca,ca,ca,c,o,oh,hc,hc,hc,ha,ha,ha,ha,ho
acetaminophen	CC(=O)Nc1ccc(O)cc1	C,C,O,N,C,C,C,C,O,C,C,H,H,H,H,H,H,H,H,H	0,1,1;1,2,2;1,3,1;3,4,1;4,5,1;5,6,2;6,7,1;7,8,1;7,9,2;9,10,1;10,4,2;0,11,1;0,12,1;0,13,1;3,14,1;5,15,1;6,16,1;8,17,1;9,18,1;10,19,1	c3,c,o,ns,ca,ca,ca,ca,oh,ca,ca,hc,hc,hc,hn,ha,ha,ho,ha,ha
ibuprofen	CC(C)Cc1ccc(C(C)C(=O)O)cc1	C,C,C,C,C,C,C,C,C,C,C,O,O,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H	0,1,1;1,2,1;1,3,1;3,4,1;4,5,1;5,6,2;6,7,1;7,8,1;8,9,1;8,10,1;10,11,2;10,12,1;7,13,2;13,14,1;14,4,2;0,15,1;0,16,1;0,17,1;1,18,1;2,19,1;2,20,1;2,21,1;3,22,1;3,23,1;5,24,1;6,25,1;8,26,1;9,27,1;9,28,1;9,29,1;12,30,1;13,31,1;14,32,1	c3,c3,c3,c3,ca,ca,ca,ca,c3,c3,c,o,oh,ca,ca,hc,hc,hc,hc,hc,hc,hc,hc,hc,ha,ha,hc,hc,hc,hc,ho,ha,ha
caffeine	Cn1c(=O)c2c(ncn2C)n(C)c1=O	C,N,C,O,C,C,N,C,N,C,N,C,C,O,H,H,H,H,H,H,H,H,H,H	0,1,1;1,2,1;2,3,2;2,4,1;4,5,2;5,6,1;6,7,2;7,8,1;8,9,1;5,10,1;10,11,1;10,12,1;12,13,2;12,1,1;8,4,1;0,14,1;0,15,1;0,16,1;7,17,1;9,18,1;9,19,1;9,20,1;11,21,1;11,22,1;11,23,1	c3,n,c,o,cc,cd,nd,cc,na,c3,n,c3,c,o,h1,h1,h1,h5,h1,h1,h1,h1,h1,h1
adenine	Nc1ncnc2[nH]cnc12	N,C,N,C,N,C,N,C,N,C,H,H,H,H,H	0,1,1;1,2,1;2,3,2;3,4,1;4,5,2;5,6,1;6,7,1;7,8,2;8,9,1;9,1,2;9,5,1;0,10,1;0,11,1;3,12,1;6,13,1;7,14,1	nv,ca,nb,ca,nb,ca,na,cc,nd,ca,hn,hn,h5,hn,h5
guanine	Nc1nc2[nH]cnc2c(=O)[nH]1	N,C,N,C,N,C,N,C,C,O,N,H,H,H,H,H	0,1,1;1,2,2;2,3,1;3,4,1;4,5,1;5,6,2;6,7,1;7,8,1;8,9,2;8,10,1;10,1,1;7,3,2;0,11,1;0,12,1;4,13,1;5,14,1;10,15,1	nv,cc,nd,cd,na,cc,nd,cc,c,o,ns,hn,hn,hn,h5,hn
cytosine	Nc1cc[nH]c(=O)n1	N,C,C,C,N,C,O,N,H,H,H,H,H	0,1,1;1,2,1;2,3,2;3,4,1;4,5,1;5,6,2;5,7,1;7,1,2;0,8,1;0,9,1;2,10,1;3,11,1;4,12,1	nv,cc,cc,cd,ns,c,o,nd,hn,hn,ha,h4,hn
uracil	O=c1cc[nH]c(=O)[nH]1	O,C,C,C,N,C,O,N,H,H,H,H	0,1,2;1,2,1;2,3,2;3,4,1;4,5,1;5,6,2;5,7,1;7,1,1;2,8,1;3,9,1;4,10,1;7,11,1	o,c,cc,cd,ns,c,o,ns,ha,h4,hn,hn
histidine	N[C@@H](Cc1cnc[nH]1)C(=O)O	N,C,C,C,C,N,C,N,C,O,O,H,H,H,H,H,H,H,H,H	0,1,1;1,2,1;2,3,1;3,4,2;4,5,1;5,6,2;6,7,1;1,8,1;8,9,2;8,10,1;7,3,1;0,11,1;0,12,1;1,13,1;2,14,1;2,15,1;4,16,1;6,17,1;7,18,1;10,19,1	n8,c3,c3,cc,cd,nd,cc,na,c,o,oh,hn,hn,h1,hc,hc,h4,h5,hn,ho
proline	O=C(O)C1CCCN1	O,C,O,C,C,C,C,N,H,H,H,H,H,H,H,H,H	0,1,2;1,2,1;1,3,1;3,4,1;4,5,1;5,6,1;6,7,1;7,3,1;2,8,1;3,9,1;4,10,1;4,11,1;5,12,1;5,13,1;6,14,1;6,15,1;7,16,1	o,c,oh,c5,c5,c5,c5,n7,ho,h1,hc,hc,hc,hc,h1,h1,hn
pyridinium	c1cc[nH+]cc1	C,C,C,N,C,C,H,H,H,H,H,H	0,1,2;1,2,1;2,3,2;3,4,1;4,5,2;5,0,1;0,6,1;1,7,1;2,8,1;3,9,1;4,10,1;5,11,1	ca,ca,ca,na,ca,ca,ha,ha,h4,hn,h4,ha
tetrazole	c1nnn[nH]1	C,N,N,N,N,H,H	0,1,2;1,2,1;2,3,2;3,4,1;4,0,1;0,5,1;4,6,1	cc,nd,nd,nc,na,h5,hn
triazine	c1ncncn1	C,N,C,N,C,N,H,H,H	0,1,2;1,2,1;2,3,2;3,4,1;4,5,2;5,0,1;0,6,1;2,7,1;4,8,1	ca,nb,ca,nb,ca,nb,h5,h5,h5
bipyridyl	c1ccncc1-c1ccccn1	C,C,C,N,C,C,C,C,C,C,C,N,H,H,H,H,H,H,H,H	0,1,2;1,2,1;2,3,2;3,4,1;4,5,2;5,6,1;6,7,2;7,8,1;8,9,2;9,10,1;10,11,2;5,0,1;11,6,1;0,12,1;1,13,1;2,14,1;4,15,1;7,16,1;8,17,1;9,18,1;10,19,1	ca,ca,ca,nb,ca,cp,cp,ca,ca,ca,ca,nb,ha,ha,h4,h4,ha,ha,ha,h4
pyrene	c1cc2ccc3cccc4ccc(c1)c2c34	C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H	0,1,2;1,2,1;2,3,2;3,4,1;4,5,2;5,6,1;6,7,2;7,8,1;8,9,2;9,10,1;10,11,2;11,12,1;12,13,2;12,14,1;14,15,2;13,0,1;14,2,1;15,5,1;15,9,1;0,16,1;1,17,1;3,18,1;4,19,1;6,20,1;7,21,1;8,22,1;10,23,1;11,24,1;13,25,1	ca,ca,ca,ca,ca,ca,ca,ca,ca,ca,ca,ca,ca,ca,ca,ca,ha,ha,ha,ha,ha,ha,ha,ha,ha,ha
benzenesulfonamide	NS(=O)(=O)c1ccccc1	N,S,O,O,C,C,C,C,C,C,H,H,H,H,H,H,H	0,1,1;1,2,2;1,3,2;1,4,1;4,5,2;5,6,1;6,7,2;7,8,1;8,9,2;9,4,1;0,10,1;0,11,1;5,12,1;6,13,1;7,14,1;8,15,1;9,16,1	n8,sy,o,o,ca,ca,ca,ca,ca,ca,hn,hn,ha,ha,ha,ha,ha
dimethylsulfonamide	CN(C)S(=O)(=O)C	C,N,C,S,O,O,C,H,H,H,H,H,H,H,H,H	0,1,1;1,2,1;1,3,1;3,4,2;3,5,2;3,6,1;0,7,1;0,8,1;0,9,1;2,10,1;2,11,1;2,12,1;6,13,1;6,14,1;6,15,1	c3,n3,c3,s6,o,o,c3,h1,h1,h1,h1,h1,h1,h1,h1,h1
dimethylphosphate	COP(=O)([O-])OC	C,O,P,O,O,O,C,H,H,H,H,H,H	0,1,1;1,2,1;2,3,2;2,4,1;2,5,1;5,6,1;0,7,1;0,8,1;0,9,1;6,10,1;6,11,1;6,12,1	c3,os,p5,o,o,os,c3,h1,h1,h1,h1,h1,h1
